Subscriber_ID,Engagement_L7,Engagement_L30,Watch_Hours_Change,Titles_Viewed,Profiles_With_Engagement,Avg_Content_Completion_Rate,Playback_Failures_L30,Video_Start_Failure_L30,High_Rebuffering_L30
692cebbf-2c0d-4ec5-a33c-fa153b5d16ad,100,410,-0.877,26,2,0.73,14,16,18
d7729e7f-a003-4a55-8374-54b4fb4d7685,100,416,0.507,18,3,0.3,2,9,8
07451ea2-5e5d-4f98-8e44-49604681d768,100,408,1.036,26,6,0.73,15,8,17
723f0f35-0aa8-4d54-bfad-020b486a1464,100,407,1.432,26,6,0.05,5,7,5
37f2941d-1ac7-4b4e-b358-50167d8348ed,100,405,-0.949,22,5,0.99,20,7,3
1df6910d-edc4-4697-a7fe-0abd7c936a6b,100,417,0.004,20,5,0.63,12,15,12
5ff19ec4-2704-4f1b-8500-6abed5e219a0,100,408,0.485,15,8,0.29,19,10,14
608c6aaa-c7ad-48f2-988d-992e1aadcd4a,100,413,0.204,28,4,0.62,6,12,13
c1b13b5a-8187-4b66-9e2d-367081c4e7c4,100,410,-0.865,16,1,0.78,13,7,3
7a5092e6-983a-4c3c-abb6-338c56e82867,100,408,1.468,23,4,0.23,8,13,1
7e664f58-a878-4c49-a79e-4695b6f86e8e,100,401,-0.885,21,3,0.58,12,1,6
6cbc5d4a-a35a-41b2-b077-da41e0c2cb62,100,416,-0.804,28,4,0.24,14,14,20
9eb8572c-70d7-4eef-91e5-983b95fa10ab,100,419,0.973,10,3,0.55,19,1,20
442d7343-4caf-4429-9b24-62dd195c7b74,100,403,-0.518,16,8,0.71,16,0,2
ab4954ce-6036-4e2a-931f-c0ae665c0009,100,411,-0.498,7,7,0.1,19,17,20
619d531d-990f-43f5-81aa-5f8f6ec183ac,100,404,0.203,6,3,0.34,0,20,3
704d61c4-6674-4c9b-a59f-c08be2f139e3,100,419,1.941,21,8,0.94,10,14,19
d9e042f4-8e80-4e1e-a716-cfacf0fc07d6,100,420,0.538,29,2,0.02,17,4,5
3aa5dc17-d8ef-42c9-bd4e-15c6458a0a15,100,400,1.441,1,3,0.32,18,12,3
0dcc13b4-5229-49ac-a4d3-9020782d1253,100,402,1.025,12,3,0.33,20,12,5
1184ddce-0dcd-48df-a311-3db33bc9f914,100,418,1.427,18,8,0.44,11,0,3
